exp,run,semilla,algoritmo,peso_h2,tiempo_ms,coste
7,8,2382,sa,32,469.00,19272.62
7,9,8785,hc,0,4763.00,2594.52
7,9,8785,hc,0.5,5058.00,3033.71
7,9,8785,hc,1,6587.00,3369.48
7,9,8785,hc,2,7663.00,3828.13
7,9,8785,hc,4,6083.00,5052.80
7,9,8785,hc,8,10493.00,6027.65
7,9,8785,hc,16,10922.00,7986.24
7,9,8785,hc,32,11879.00,13056.59
7,9,8785,sa,0,433.00,2652.47
7,9,8785,sa,0.5,404.00,3053.99
7,9,8785,sa,1,465.00,3342.44
7,9,8785,sa,2,368.00,3649.80
7,9,8785,sa,4,503.00,4767.83
7,9,8785,sa,8,425.00,5943.02
7,9,8785,sa,16,453.00,9140.25
7,9,8785,sa,32,350.00,13599.40
7,10,4607,hc,0,5354.00,2860.75
7,10,4607,hc,0.5,6136.00,3199.64
7,10,4607,hc,1,7043.00,3519.31
7,10,4607,hc,2,7742.00,4054.85
7,10,4607,hc,4,10308.00,5105.25
7,10,4607,hc,8,7641.00,7540.24
7,10,4607,hc,16,10708.00,11106.83
7,10,4607,hc,32,13831.00,18051.80
7,10,4607,sa,0,463.00,2849.09
7,10,4607,sa,0.5,472.00,3244.66
7,10,4607,sa,1,442.00,3601.76
7,10,4607,sa,2,458.00,4129.33
7,10,4607,sa,4,361.00,5290.52
7,10,4607,sa,8,510.00,7175.36
7,10,4607,sa,16,414.00,11473.36
7,10,4607,sa,32,402.00,18309.18
