exp,run,semilla,steps,stiter,k,lambda,tiempo_ms,coste
3,3,2349,1000,100,5,0.1,62.00,2744.86
3,3,2349,1000,100,5,0.5,64.00,2814.48
3,3,2349,1000,100,10,0.001,60.00,2827.12
3,3,2349,1000,100,10,0.01,60.00,2839.04
3,3,2349,1000,100,10,0.1,68.00,2893.06
3,3,2349,1000,100,10,0.5,64.00,2773.21
3,3,2349,1000,100,25,0.001,64.00,3052.22
3,3,2349,1000,100,25,0.01,61.00,2857.50
3,3,2349,1000,100,25,0.1,63.00,2824.25
3,3,2349,1000,100,25,0.5,64.00,2825.64
3,3,2349,5000,100,1,0.001,144.00,2664.58
3,3,2349,5000,100,1,0.01,144.00,2655.73
3,3,2349,5000,100,1,0.1,200.00,2675.51
3,3,2349,5000,100,1,0.5,75.00,2729.79
3,3,2349,5000,100,5,0.001,148.00,2678.03
3,3,2349,5000,100,5,0.01,153.00,2733.32
3,3,2349,5000,100,5,0.1,177.00,2616.36
3,3,2349,5000,100,5,0.5,77.00,2806.79
3,3,2349,5000,100,10,0.001,172.00,2597.77
3,3,2349,5000,100,10,0.01,202.00,2590.29
3,3,2349,5000,100,10,0.1,155.00,2611.44
3,3,2349,5000,100,10,0.5,68.00,2806.37
3,3,2349,5000,100,25,0.001,192.00,2637.95
3,3,2349,5000,100,25,0.01,171.00,2645.71
3,3,2349,5000,100,25,0.1,186.00,2681.45
3,3,2349,5000,100,25,0.5,83.00,2808.05
3,3,2349,10000,100,1,0.001,270.00,2645.95
3,3,2349,10000,100,1,0.01,242.00,2614.87
3,3,2349,10000,100,1,0.1,219.00,2646.05
3,3,2349,10000,100,1,0.5,78.00,2842.70
3,3,2349,10000,100,5,0.001,299.00,2589.35
3,3,2349,10000,100,5,0.01,240.00,2593.21
3,3,2349,10000,100,5,0.1,286.00,2590.87
3,3,2349,10000,100,5,0.5,73.00,2791.90
3,3,2349,10000,100,10,0.001,286.00,2579.04
3,3,2349,10000,100,10,0.01,279.00,2587.18
3,3,2349,10000,100,10,0.1,248.00,2626.10
3,3,2349,10000,100,10,0.5,81.00,2828.24
3,3,2349,10000,100,25,0.001,314.00,2666.60
3,3,2349,10000,100,25,0.01,295.00,2604.39
3,3,2349,10000,100,25,0.1,277.00,2647.44
3,3,2349,10000,100,25,0.5,81.00,2751.11
3,4,19455,1000,100,1,0.001,77.00,2350.24
3,4,19455,1000,100,1,0.01,62.00,2280.10
3,4,19455,1000,100,1,0.1,56.00,2325.11
3,4,19455,1000,100,1,0.5,60.00,2300.28
3,4,19455,1000,100,5,0.001,61.00,2356.71
3,4,19455,1000,100,5,0.01,61.00,2305.07
3,4,19455,1000,100,5,0.1,69.00,2379.06
3,4,19455,1000,100,5,0.5,68.00,2294.97
3,4,19455,1000,100,10,0.001,64.00,2479.52
3,4,19455,1000,100,10,0.01,64.00,2317.81
3,4,19455,1000,100,10,0.1,59.00,2379.65
3,4,19455,1000,100,10,0.5,63.00,2346.23
3,4,19455,1000,100,25,0.001,61.00,2505.29
3,4,19455,1000,100,25,0.01,61.00,2481.17
3,4,19455,1000,100,25,0.1,58.00,2370.82
3,4,19455,1000,100,25,0.5,65.00,2419.29
3,4,19455,5000,100,1,0.001,204.00,2180.00
3,4,19455,5000,100,1,0.01,164.00,2177.38
3,4,19455,5000,100,1,0.1,171.00,2204.21
3,4,19455,5000,100,1,0.5,85.00,2247.96
3,4,19455,5000,100,5,0.001,180.00,2186.95
3,4,19455,5000,100,5,0.01,165.00,2204.31
3,4,19455,5000,100,5,0.1,171.00,2191.41
3,4,19455,5000,100,5,0.5,93.00,2281.49
3,4,19455,5000,100,10,0.001,188.00,2164.37
3,4,19455,5000,100,10,0.01,209.00,2187.21
3,4,19455,5000,100,10,0.1,189.00,2198.40
3,4,19455,5000,100,10,0.5,75.00,2304.24
3,4,19455,5000,100,25,0.001,187.00,2264.18
3,4,19455,5000,100,25,0.01,187.00,2234.28
3,4,19455,5000,100,25,0.1,217.00,2215.52
3,4,19455,5000,100,25,0.5,84.00,2313.56
3,4,19455,10000,100,1,0.001,268.00,2166.45
3,4,19455,10000,100,1,0.01,276.00,2181.96
3,4,19455,10000,100,1,0.1,284.00,2156.42
3,4,19455,10000,100,1,0.5,80.00,2265.40
3,4,19455,10000,100,5,0.001,268.00,2159.74
3,4,19455,10000,100,5,0.01,283.00,2134.67
3,4,19455,10000,100,5,0.1,205.00,2178.34
3,4,19455,10000,100,5,0.5,74.00,2301.90
3,4,19455,10000,100,10,0.001,276.00,2197.46
3,4,19455,10000,100,10,0.01,302.00,2163.32
3,4,19455,10000,100,10,0.1,263.00,2179.78
3,4,19455,10000,100,10,0.5,83.00,2233.40
3,4,19455,10000,100,25,0.001,261.00,2198.74
3,4,19455,10000,100,25,0.01,320.00,2245.39
3,4,19455,10000,100,25,0.1,255.00,2201.44
3,4,19455,10000,100,25,0.5,78.00,2316.87
3,5,10672,1000,100,1,0.001,70.00,2836.18
3,5,10672,1000,100,1,0.01,69.00,2815.54
3,5,10672,1000,100,1,0.1,73.00,2860.17
3,5,10672,1000,100,1,0.5,62.00,2844.20
3,5,10672,1000,100,5,0.001,65.00,2844.19
3,5,10672,1000,100,5,0.01,69.00,2828.84
3,5,10672,1000,100,5,0.1,70.00,2822.48
3,5,10672,1000,100,5,0.5,70.00,2855.59
3,5,10672,1000,100,10,0.001,69.00,3002.84
3,5,10672,1000,100,10,0.01,70.00,2910.92
3,5,10672,1000,100,10,0.1,69.00,2854.12
3,5,10672,1000,100,10,0.5,64.00,2813.06
3,5,10672,1000,100,25,0.001,72.00,3021.40
3,5,10672,1000,100,25,0.01,70.00,2979.17
3,5,10672,1000,100,25,0.1,67.00,2949.48
3,5,10672,1000,100,25,0.5,64.00,2909.62
3,5,10672,5000,100,1,0.001,232.00,2714.63
3,5,10672,5000,100,1,0.01,197.00,2733.03
3,5,10672,5000,100,1,0.1,219.00,2725.91
3,5,10672,5000,100,1,0.5,89.00,2834.08
3,5,10672,5000,100,5,0.001,175.00,2748.11
3,5,10672,5000,100,5,0.01,222.00,2716.56
3,5,10672,5000,100,5,0.1,197.00,2714.36
3,5,10672,5000,100,5,0.5,87.00,2796.45
3,5,10672,5000,100,10,0.001,224.00,2744.23
3,5,10672,5000,100,10,0.01,209.00,2726.67
3,5,10672,5000,100,10,0.1,208.00,2748.76
3,5,10672,5000,100,10,0.5,87.00,2812.90
3,5,10672,5000,100,25,0.001,248.00,2768.14
3,5,10672,5000,100,25,0.01,199.00,2762.40
3,5,10672,5000,100,25,0.1,203.00,2773.26
3,5,10672,5000,100,25,0.5,86.00,2811.49
3,5,10672,10000,100,1,0.001,293.00,2699.88
3,5,10672,10000,100,1,0.01,303.00,2704.13
3,5,10672,10000,100,1,0.1,248.00,2697.34
3,5,10672,10000,100,1,0.5,87.00,2811.24
3,5,10672,10000,100,5,0.001,270.00,2711.57
3,5,10672,10000,100,5,0.01,288.00,2712.24
3,5,10672,10000,100,5,0.1,284.00,2706.77
3,5,10672,10000,100,5,0.5,95.00,2828.58
3,5,10672,10000,100,10,0.001,334.00,2716.17
3,5,10672,10000,100,10,0.01,321.00,2692.15
3,5,10672,10000,100,10,0.1,255.00,2702.26
3,5,10672,10000,100,10,0.5,101.00,2850.00
3,5,10672,10000,100,25,0.001,314.00,2709.57
3,5,10672,10000,100,25,0.01,268.00,2726.45
